Train_No,Origin_Code,Origin_Station,Destination_Code,Destination_Station,Total_Distance,Total_Stations,Number_of_Stops,Departure_Minutes,Arrival_Minutes,Journey_Duration_Minutes,Journey_Duration_Hours
107,SWV,SAWANTWADI R,MAO,MADGOAN JN.,78.0,4,2,625,730,105,1.75
108,MAO,MADGOAN JN.,SWV,SAWANTWADI R,83.0,4,2,1230,1345,115,1.92
128,MAO,MADGOAN JN.,KOP,CHHATRAPATI,978.0,22,20,1180,1065,1325,22.08
290,DSJ,DELHI-SAFDAR,DSJ,DELHI-SAFDAR,2694.0,14,12,1110,150,9120,152.0
401,AWB,AURANGABAD,BSB,VARANASI JN.,1618.0,12,10,1290,600,2190,36.5
421,LKO,LUCKNOW JN.,SVDK,SHRI MATA VA,1276.0,5,3,1380,480,1980,33.0
422,SVDK,SHRI MATA VA,LKO,LUCKNOW JN.,1277.0,5,3,705,870,1605,26.75
477,SSA,SIRSA,SSA,SIRSA,2616.0,14,12,730,920,3070,51.17
502,RJPB,RAJENDRANAGA,UMB,AMBALA CANTT,1206.0,9,7,630,570,1380,23.0
504,PNBE,PATNA JN.,BTI,BATHINDA JN,1313.0,3,1,540,600,1500,25.0
506,PNBE,PATNA JN.,PTA,PATIALA,1161.0,3,1,855,945,1530,25.5
557,URK,URKURA,PJP,PANJIPARA,1301.0,2,0,1410,660,690,11.5
604,PNBE,PATNA JN.,ASR,AMRITSAR JN.,1429.0,3,1,750,960,1650,27.5
1011,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(C,841.0,18,16,20,860,840,14.0
1037,LTT,LOKMANYA TIL,SWV,SAWANTWADI R,513.0,10,8,70,630,560,9.33
1038,SWV,SAWANTWADI R,LTT,LOKMANYA TIL,503.0,10,8,845,20,615,10.25
1045,LTT,LOKMANYA TIL,KRMI,KARMALI,563.0,11,9,70,660,590,9.83
1119,AJNI,AJNI,KRMI,KARMALI,1329.0,24,22,1190,1230,1480,24.67
1120,KRMI,KARMALI,AJNI,AJNI,1319.0,24,22,1290,1320,1470,24.5
1122,KRMI,KARMALI,CSMT,CST-MUMBAI,569.0,14,12,1350,630,720,12.0
1196,NGP,NAGPUR JN.(C,KRMI,KARMALI,1332.0,26,24,1190,1290,1540,25.67
1301,PUNE,PUNE JN.,MAJN,MANGALORE JN,976.0,17,15,1130,750,1060,17.67
1302,MAJN,MANGALORE JN,PUNE,PUNE JN.,973.0,17,15,945,790,1285,21.42
1442,DSJ,DELHI-SAFDAR,KK,KHADKI,1581.0,13,11,675,135,2340,39.0
1655,PUNE,PUNE JN.,JBP,JABALPUR,1050.0,13,11,645,375,1170,19.5
1656,JBP,JABALPUR,PUNE,PUNE JN.,1050.0,13,11,1170,845,1115,18.58
1705,BDTS,BANDRA TERMI,JBP,JABALPUR,1261.0,14,12,15,1300,1285,21.42
1706,JBP,JABALPUR,BDTS,BANDRA TERMI,1262.0,14,12,860,675,1255,20.92
1707,JBP,JABALPUR,ATT,ATARI JN,1360.0,17,15,555,705,1590,26.5
1708,ATT,ATARI JN,JBP,JABALPUR,1362.0,17,15,885,1040,1595,26.58
2025,CSMT,CST-MUMBAI,KRMI,KARMALI,579.0,7,5,300,800,500,8.33
2026,KRMI,KARMALI,CSMT,CST-MUMBAI,569.0,7,5,870,1380,510,8.5
2191,JBP,JABALPUR,SRC,SANTRAGACHI,1123.0,16,14,1210,960,1190,19.83
2192,SRC,SANTRAGACHI,JBP,JABALPUR,1123.0,16,14,1240,950,1150,19.17
2195,REWA,REWA,BPL,BHOPAL,551.0,10,8,800,1380,580,9.67
2196,BPL,BHOPAL,REWA,REWA,549.0,10,8,1425,585,600,10.0
2515,TVC,TRIVANDRUM C,SCL,SILCHAR,3939.0,58,56,5,300,4615,76.92
2651,PLNI,PALANI,POY,POLLACHI,62.0,3,1,465,550,85,1.42
2652,POY,POLLACHI,PLNI,PALANI,62.0,3,1,1005,1090,85,1.42
2731,HYB,HYDERABAD DE,JP,JAIPUR JN.,1854.0,29,27,985,385,2280,38.0
2732,JP,JAIPUR JN.,HYB,HYDERABAD DE,1853.0,29,27,875,120,2125,35.42
2821,PUNE,PUNE JN.,SRC,SANTRAGACHI,2066.0,14,12,630,1095,1905,31.75
2822,SRC,SANTRAGACHI,PUNE,PUNE JN.,2073.0,14,12,1110,165,1935,32.25
2833,RJT,RAJKOT,SRC,SANTRAGACHI,2332.0,29,27,1340,995,2535,42.25
2834,SRC,SANTRAGACHI,RJT,RAJKOT,2351.0,29,27,1265,825,2440,40.67
2841,SRC,SANTRAGACHI,MAS,CHENNAI CENT,1656.0,12,10,760,920,1600,26.67
2842,MAS,CHENNAI CENT,SRC,SANTRAGACHI,1656.0,12,10,1100,1410,1750,29.17
2845,PUNE,PUNE JN.,HTE,HATIA,1770.0,17,15,645,1100,1895,31.58
2846,HTE,HATIA,PUNE,PUNE JN.,1791.0,17,15,1260,165,1785,29.75
3101,KOAA,KOLKATA,PURI,PURI,523.0,9,7,1435,710,715,11.92
3102,PURI,PURI,KOAA,KOLKATA,522.0,9,7,1365,625,700,11.67
3301,ASN,ASANSOL MAIN,DHN,DHANBAD JN.,58.0,13,11,610,695,85,1.42
3302,DHN,DHANBAD JN.,ASN,ASANSOL MAIN,58.0,13,11,705,790,85,1.42
3305,DHN,DHANBAD JN.,KDS,KUSUNDA,3.0,2,0,690,710,20,0.33
3306,KDS,KUSUNDA,DHN,DHANBAD JN.,3.0,2,0,725,745,20,0.33
3307,SZE,SONARDIH,PLJE,PHULWARTANR,4.0,4,2,880,915,35,0.58
3308,PLJE,PHULWARTANR,SZE,SONARDIH,4.0,4,2,795,825,30,0.5
3501,JSME,JASIDIH JN.,ANVT,ANAND VIHAR,1193.0,5,3,1110,850,1180,19.67
3502,ANVT,ANAND VIHAR,JSME,JASIDIH JN.,1193.0,5,3,1190,1050,1300,21.67
4401,ANVT,ANAND VIHAR,SVDK,SHRI MATA VA,710.0,13,11,1340,780,880,14.67
4402,SVDK,SHRI MATA VA,ANVT,ANAND VIHAR,710.0,13,11,1430,845,855,14.25
4409,DLI,DELHI JN.,SVDK,SHRI MATA VA,653.0,7,5,1270,690,860,14.33
4410,SVDK,SHRI MATA VA,DLI,DELHI JN.,653.0,7,5,810,195,825,13.75
4419,MAO,MADGOAN JN.,NZM,HAZRAT NIZAM,1916.0,13,11,640,1015,1815,30.25
4420,NZM,HAZRAT NIZAM,MAO,MADGOAN JN.,1924.0,13,11,935,1180,1685,28.08
4735,BKN,BIKANER JN.,HW,HARIDWAR JN,691.0,17,15,1185,625,880,14.67
4736,HW,HARIDWAR JN,BKN,BIKANER JN.,691.0,17,15,1190,565,815,13.58
4767,HMH,HANUMANGARH,SGNR,SHRI GANGANA,67.0,10,8,865,965,100,1.67
4768,SGNR,SHRI GANGANA,HMH,HANUMANGARH,67.0,10,8,670,780,110,1.83
4769,HMH,HANUMANGARH,SGNR,SHRI GANGANA,67.0,10,8,1065,1170,105,1.75
4770,SGNR,SHRI GANGANA,HMH,HANUMANGARH,67.0,10,8,930,1025,95,1.58
4771,SDLP,SADULPUR JN,SGNR,SHRI GANGANA,232.0,24,22,155,525,370,6.17
4772,SGNR,SHRI GANGANA,SDLP,SADULPUR JN,232.0,24,22,1125,60,375,6.25
4773,SGNR,SHRI GANGANA,SOG,SURATGARH JN,125.0,16,14,1175,1360,185,3.08
4774,SOG,SURATGARH JN,SGNR,SHRI GANGANA,125.0,10,8,80,235,155,2.58
4801,PBC,PARVATSAR CI,MKN,MAKRANA JN.,21.0,3,1,390,450,60,1.0
4802,MKN,MAKRANA JN.,PBC,PARVATSAR CI,21.0,3,1,1160,1220,60,1.0
4831,JU,JODHPUR JN.,HW,HARIDWAR JN,882.0,22,20,810,645,1275,21.25
4832,HW,HARIDWAR JN,JU,JODHPUR JN.,881.0,22,20,1005,705,1140,19.0
4851,MTD,MERTA ROAD J,RTGH,RATANAGARH J,197.0,21,19,410,690,280,4.67
4852,RTGH,RATANAGARH J,MTD,MERTA ROAD J,197.0,21,19,1015,1320,305,5.08
4853,RTGH,RATANAGARH J,CUR,CHURU,42.0,6,4,715,790,75,1.25
4854,CUR,CHURU,RTGH,RATANAGARH J,42.0,6,4,945,1005,60,1.0
4921,SRE,SAHARANPUR J,UMB,AMBALA CANTT,81.0,13,11,285,390,105,1.75
4922,UMB,AMBALA CANTT,SRE,SAHARANPUR J,81.0,13,11,1245,1360,115,1.92
4991,PTK,PATHANKOT JN,JAT,JAMMU TAWI,99.0,14,12,880,1030,150,2.5
4992,JAT,JAMMU TAWI,PTK,PATHANKOT JN,99.0,14,12,590,730,140,2.33
5061,GKP,GORAKHPUR JN,BNY,BARHNI,112.0,5,3,405,590,185,3.08
5062,BNY,BARHNI,GKP,GORAKHPUR JN,112.0,5,3,1040,1205,165,2.75
5065,CPR,CHHAPRA JN.,LJN,LUCKNOW JN.,503.0,15,13,1170,495,765,12.75
5066,LJN,LUCKNOW JN.,CPR,CHHAPRA JN.,505.0,15,13,1225,505,720,12.0
5105,GKP,GORAKHPUR JN,BST,BASTI,64.0,4,2,705,815,110,1.83
5106,BST,BASTI,GKP,GORAKHPUR JN,64.0,4,2,850,940,90,1.5
5305,CPA,KANPUR ANWAR,FBD,FARRUKHABAD,136.0,11,9,895,1105,210,3.5
5306,FBD,FARRUKHABAD,CPA,KANPUR ANWAR,136.0,11,9,695,870,175,2.92
5309,BC,BAREILLY CIT,LKU,LALKUA JN.,81.0,6,4,1255,1365,110,1.83
5310,LKU,LALKUA JN.,BC,BAREILLY CIT,81.0,6,4,1050,1165,115,1.92
5521,JMP,JAMALPUR JN.,SHC,SAHARSA JN.,81.0,12,10,1240,25,225,3.75
5522,SHC,SAHARSA JN.,JMP,JAMALPUR JN.,81.0,12,10,310,480,170,2.83
5613,JLWC,JHALAWAR CIT,KOTA,KOTA,85.0,11,9,360,485,125,2.08
5614,KOTA,KOTA,JLWC,JHALAWAR CIT,85.0,9,7,1150,1285,135,2.25
5619,NLP,NORTH LAKHIM,MZS,MURKEONG SEL,153.0,20,18,800,1050,250,4.17
5620,MZS,MURKEONG SEL,NLP,NORTH LAKHIM,153.0,20,18,525,770,245,4.08
5631,GHY,GUWAHATI,SCL,SILCHAR,380.0,10,8,1050,355,745,12.42
5632,SCL,SILCHAR,GHY,GUWAHATI,379.0,10,8,1160,465,745,12.42
5715,NJP,NEW JALPAIGU,KNE,KISHANGANJ,87.0,2,0,180,310,130,2.17
5716,KNE,KISHANGANJ,NJP,NEW JALPAIGU,87.0,2,0,240,390,150,2.5
5719,KIR,KATIHAR JN.,SGUJ,SILIGURI JN.,204.0,11,9,1395,195,240,4.0
5720,SGUJ,SILIGURI JN.,KIR,KATIHAR JN.,205.0,11,9,1080,1380,300,5.0
5863,RNY,RANGIYA JN.,RPAN,RANGAPARA NO,89.0,15,13,1100,1285,185,3.08
5864,RPAN,RANGAPARA NO,RNY,RANGIYA JN.,88.0,15,13,300,465,165,2.75
5865,RNY,RANGIYA JN.,MZS,MURKEONG SEL,426.0,53,51,495,1220,725,12.08
5866,MZS,MURKEONG SEL,RNY,RANGIYA JN.,425.0,53,51,360,1065,705,11.75
6001,MS,CHENNAI EGMO,TEN,TIRUNELVELI,649.0,14,12,1310,630,760,12.67
6002,TEN,TIRUNELVELI,MS,CHENNAI EGMO,649.0,15,13,900,210,750,12.5
6006,ERS,ERNAKULAM. J,MAS,CHENNAI CENT,699.0,14,12,1165,630,905,15.08
6009,SRC,SANTRAGACHI,PDY,PONDICHERRY,1844.0,27,25,850,1215,1805,30.08
6010,PDY,PONDICHERRY,SRC,SANTRAGACHI,1843.0,27,25,1155,270,1995,33.25
6041,MAS,CHENNAI CENT,QLN,QUILON,849.0,19,17,1100,660,1000,16.67
6042,QLN,QUILON,MAS,CHENNAI CENT,851.0,20,18,975,510,975,16.25
6043,MAS,CHENNAI CENT,QLN,QUILON,849.0,18,16,1350,870,960,16.0
6044,QLN,QUILON,MAS,CHENNAI CENT,852.0,19,17,915,440,965,16.08
6046,QLN,QUILON,MAS,CHENNAI CENT,852.0,19,17,885,525,1080,18.0
6047,MAS,CHENNAI CENT,QLN,QUILON,849.0,19,17,1100,630,970,16.17
6048,QLN,QUILON,MAS,CHENNAI CENT,852.0,20,18,810,390,1020,17.0
6049,MS,CHENNAI EGMO,QLN,QUILON,855.0,19,17,885,350,905,15.08
6050,QLN,QUILON,MS,CHENNAI EGMO,857.0,20,18,780,330,990,16.5
6053,KCVL,KOCHUVELI,MAJN,MANGALORE JN,626.0,14,12,1115,310,635,10.58
6054,MAJN,MANGALORE JN,KCVL,KOCHUVELI,627.0,14,12,940,300,800,13.33
6057,SRC,SANTRAGACHI,MAS,CHENNAI CENT,1656.0,19,17,1430,330,1780,29.67
6058,MAS,CHENNAI CENT,SRC,SANTRAGACHI,1655.0,19,17,915,1140,1665,27.75
6065,CGL,CHENGALPATTU,MDU,MADURAI JN,500.0,13,11,1040,405,805,13.42
6066,MDU,MADURAI JN,CGL,CHENGALPATTU,501.0,13,11,955,150,635,10.58
6067,CGL,CHENGALPATTU,CBE,COIMBATORE,522.0,9,7,1185,340,595,9.92
6068,CBE,COIMBATORE,CGL,CHENGALPATTU,522.0,9,7,1050,325,715,11.92
6081,CBE,COIMBATORE,POY,POLLACHI,45.0,4,2,815,885,70,1.17
6082,POY,POLLACHI,CBE,COIMBATORE,45.0,4,2,905,975,70,1.17
6412,DSJ,DELHI-SAFDAR,PAY,PAYYANUR,2462.0,21,19,670,980,3190,53.17
6512,MKM,MARIKUPPAM,BAND,BANASWADI,77.0,14,12,480,620,140,2.33
6513,BWT,BANGARPET JN,MKM,MARIKUPPAM,17.0,6,4,430,465,35,0.58
6541,YPR,YESVANTPUR J,PVR,PANDHARPUR,881.0,14,12,1080,695,1055,17.58
6542,PVR,PANDHARPUR,YPR,YESVANTPUR J,878.0,14,12,815,380,1005,16.75
6547,YPR,YESVANTPUR J,ERS,ERNAKULAM. J,632.0,14,12,1365,630,705,11.75
6548,ERS,ERNAKULAM. J,YPR,YESVANTPUR J,634.0,13,11,885,270,825,13.75
6579,YPR,YESVANTPUR J,VSKP,VISAKHAPATNA,1089.0,21,19,1115,875,1200,20.0
6580,VSKP,VISAKHAPATNA,YPR,YESVANTPUR J,1086.0,21,19,825,545,1160,19.33
6581,YPR,YESVANTPUR J,BGM,BELGAUM,607.0,85,83,1215,571,796,13.27
6582,BGM,BELGAUM,YPR,YESVANTPUR J,604.0,85,83,1150,506,796,13.27
6591,YPR,YESVANTPUR J,HSRA,HOSUR,62.0,9,7,390,480,90,1.5
6592,HSRA,HOSUR,YPR,YESVANTPUR J,61.0,9,7,495,590,95,1.58
6593,WFD,WHITE FIELD,BYPL,BAIYYAPPANAH,10.0,4,2,1095,1120,25,0.42
6594,BYPL,BAIYYAPPANAH,WFD,WHITE FIELD,10.0,4,2,505,530,25,0.42
6595,YPR,YESVANTPUR J,DHL,DEVANHALLI,33.0,7,5,635,685,50,0.83
6596,DHL,DEVANHALLI,YPR,YESVANTPUR J,33.0,7,5,795,865,70,1.17
6647,KRBA,KORBA,BSP,BILASPUR JN.,89.0,8,6,330,460,130,2.17
6648,BSP,BILASPUR JN.,KRBA,KORBA,89.0,8,6,960,1110,150,2.5
6769,PGTN,PALGHAT TOWN,PLNI,PALANI,116.0,11,9,290,450,160,2.67
6770,PLNI,PALANI,PGTN,PALGHAT TOWN,116.0,11,9,1165,1350,185,3.08
6851,KIK,KARAIKAL,NCR,NAGORE,10.0,3,1,360,380,20,0.33
6852,NCR,NAGORE,KIK,KARAIKAL,10.0,3,1,1265,1290,25,0.42
