Train_No,Origin_Station,Destination_Station,Total_Distance,Number_of_Stops,Journey_Duration_Hours
107,SAWANTWADI R,MADGOAN JN.,78.0,2,1.75
108,MADGOAN JN.,SAWANTWADI R,83.0,2,1.92
128,MADGOAN JN.,CHHATRAPATI,978.0,20,22.08
290,DELHI-SAFDAR,DELHI-SAFDAR,2694.0,12,152.0
401,AURANGABAD,VARANASI JN.,1618.0,10,36.5
421,LUCKNOW JN.,SHRI MATA VA,1276.0,3,33.0
422,SHRI MATA VA,LUCKNOW JN.,1277.0,3,26.75
477,SIRSA,SIRSA,2616.0,12,51.17
502,RAJENDRANAGA,AMBALA CANTT,1206.0,7,23.0
504,PATNA JN.,BATHINDA JN,1313.0,1,25.0
506,PATNA JN.,PATIALA,1161.0,1,25.5
557,URKURA,PANJIPARA,1301.0,0,11.5
604,PATNA JN.,AMRITSAR JN.,1429.0,1,27.5
1011,CST-MUMBAI,NAGPUR JN.(C,841.0,16,14.0
1037,LOKMANYA TIL,SAWANTWADI R,513.0,8,9.33
1038,SAWANTWADI R,LOKMANYA TIL,503.0,8,10.25
1045,LOKMANYA TIL,KARMALI,563.0,9,9.83
1119,AJNI,KARMALI,1329.0,22,24.67
1120,KARMALI,AJNI,1319.0,22,24.5
1122,KARMALI,CST-MUMBAI,569.0,12,12.0
1196,NAGPUR JN.(C,KARMALI,1332.0,24,25.67
1301,PUNE JN.,MANGALORE JN,976.0,15,17.67
1302,MANGALORE JN,PUNE JN.,973.0,15,21.42
1442,DELHI-SAFDAR,KHADKI,1581.0,11,39.0
1655,PUNE JN.,JABALPUR,1050.0,11,19.5
1656,JABALPUR,PUNE JN.,1050.0,11,18.58
1705,BANDRA TERMI,JABALPUR,1261.0,12,21.42
1706,JABALPUR,BANDRA TERMI,1262.0,12,20.92
1707,JABALPUR,ATARI JN,1360.0,15,26.5
1708,ATARI JN,JABALPUR,1362.0,15,26.58
2025,CST-MUMBAI,KARMALI,579.0,5,8.33
2026,KARMALI,CST-MUMBAI,569.0,5,8.5
2191,JABALPUR,SANTRAGACHI,1123.0,14,19.83
2192,SANTRAGACHI,JABALPUR,1123.0,14,19.17
2195,REWA,BHOPAL,551.0,8,9.67
2196,BHOPAL,REWA,549.0,8,10.0
2515,TRIVANDRUM C,SILCHAR,3939.0,56,76.92
2651,PALANI,POLLACHI,62.0,1,1.42
2652,POLLACHI,PALANI,62.0,1,1.42
2731,HYDERABAD DE,JAIPUR JN.,1854.0,27,38.0
2732,JAIPUR JN.,HYDERABAD DE,1853.0,27,35.42
2821,PUNE JN.,SANTRAGACHI,2066.0,12,31.75
2822,SANTRAGACHI,PUNE JN.,2073.0,12,32.25
