,count,mean,min,max
,Number_of_Stops,Number_of_Stops,Number_of_Stops,Number_of_Stops
Train_No,,,,
107,1,2.0,2,2
108,1,2.0,2,2
128,1,20.0,20,20
290,1,12.0,12,12
401,1,10.0,10,10
421,1,3.0,3,3
422,1,3.0,3,3
477,1,12.0,12,12
502,1,7.0,7,7
504,1,1.0,1,1
506,1,1.0,1,1
557,1,0.0,0,0
604,1,1.0,1,1
1011,1,16.0,16,16
1037,1,8.0,8,8
1038,1,8.0,8,8
1045,1,9.0,9,9
1119,1,22.0,22,22
1120,1,22.0,22,22
1122,1,12.0,12,12
1196,1,24.0,24,24
1301,1,15.0,15,15
1302,1,15.0,15,15
1442,1,11.0,11,11
1655,1,11.0,11,11
1656,1,11.0,11,11
1705,1,12.0,12,12
1706,1,12.0,12,12
1707,1,15.0,15,15
1708,1,15.0,15,15
2025,1,5.0,5,5
2026,1,5.0,5,5
2191,1,14.0,14,14
2192,1,14.0,14,14
2195,1,8.0,8,8
2196,1,8.0,8,8
2515,1,56.0,56,56
2651,1,1.0,1,1
2652,1,1.0,1,1
2731,1,27.0,27,27
2732,1,27.0,27,27
2821,1,12.0,12,12
2822,1,12.0,12,12
2833,1,27.0,27,27
2834,1,27.0,27,27
2841,1,10.0,10,10
2842,1,10.0,10,10
2845,1,15.0,15,15
2846,1,15.0,15,15
3101,1,7.0,7,7
3102,1,7.0,7,7
3301,1,11.0,11,11
3302,1,11.0,11,11
3305,1,0.0,0,0
3306,1,0.0,0,0
3307,1,2.0,2,2
3308,1,2.0,2,2
3501,1,3.0,3,3
3502,1,3.0,3,3
4401,1,11.0,11,11
4402,1,11.0,11,11
4409,1,5.0,5,5
4410,1,5.0,5,5
4419,1,11.0,11,11
4420,1,11.0,11,11
4735,1,15.0,15,15
4736,1,15.0,15,15
4767,1,8.0,8,8
4768,1,8.0,8,8
4769,1,8.0,8,8
4770,1,8.0,8,8
4771,1,22.0,22,22
4772,1,22.0,22,22
4773,1,14.0,14,14
4774,1,8.0,8,8
4801,1,1.0,1,1
4802,1,1.0,1,1
4831,1,20.0,20,20
4832,1,20.0,20,20
4851,1,19.0,19,19
4852,1,19.0,19,19
4853,1,4.0,4,4
4854,1,4.0,4,4
4921,1,11.0,11,11
4922,1,11.0,11,11
4991,1,12.0,12,12
4992,1,12.0,12,12
5061,1,3.0,3,3
5062,1,3.0,3,3
5065,1,13.0,13,13
5066,1,13.0,13,13
5105,1,2.0,2,2
5106,1,2.0,2,2
5305,1,9.0,9,9
5306,1,9.0,9,9
5309,1,4.0,4,4
5310,1,4.0,4,4
5521,1,10.0,10,10
5522,1,10.0,10,10
5613,1,9.0,9,9
5614,1,7.0,7,7
5619,1,18.0,18,18
5620,1,18.0,18,18
5631,1,8.0,8,8
5632,1,8.0,8,8
5715,1,0.0,0,0
5716,1,0.0,0,0
5719,1,9.0,9,9
5720,1,9.0,9,9
5863,1,13.0,13,13
5864,1,13.0,13,13
5865,1,51.0,51,51
5866,1,51.0,51,51
6001,1,12.0,12,12
6002,1,13.0,13,13
6006,1,12.0,12,12
6009,1,25.0,25,25
6010,1,25.0,25,25
6041,1,17.0,17,17
6042,1,18.0,18,18
6043,1,16.0,16,16
6044,1,17.0,17,17
6046,1,17.0,17,17
6047,1,17.0,17,17
6048,1,18.0,18,18
6049,1,17.0,17,17
6050,1,18.0,18,18
6053,1,12.0,12,12
6054,1,12.0,12,12
6057,1,17.0,17,17
6058,1,17.0,17,17
6065,1,11.0,11,11
6066,1,11.0,11,11
6067,1,7.0,7,7
6068,1,7.0,7,7
6081,1,2.0,2,2
6082,1,2.0,2,2
6412,1,19.0,19,19
6512,1,12.0,12,12
6513,1,4.0,4,4
6541,1,12.0,12,12
6542,1,12.0,12,12
6547,1,12.0,12,12
6548,1,11.0,11,11
6579,1,19.0,19,19
6580,1,19.0,19,19
6581,1,83.0,83,83
6582,1,83.0,83,83
6591,1,7.0,7,7
6592,1,7.0,7,7
6593,1,2.0,2,2
6594,1,2.0,2,2
6595,1,5.0,5,5
6596,1,5.0,5,5
6647,1,6.0,6,6
6648,1,6.0,6,6
6769,1,9.0,9,9
6770,1,9.0,9,9
6851,1,1.0,1,1
6852,1,1.0,1,1
6853,1,1.0,1,1
6854,1,1.0,1,1
6919,1,34.0,34,34
6920,1,34.0,34,34
7005,1,32.0,32,32
7006,1,32.0,32,32
7007,1,25.0,25,25
7008,1,26.0,26,26
7016,1,16.0,16,16
7044,1,9.0,9,9
7061,1,6.0,6,6
7062,1,12.0,12,12
7075,1,15.0,15,15
7076,1,15.0,15,15
7109,1,38.0,38,38
7110,1,38.0,38,38
7113,1,35.0,35,35
7133,1,37.0,37,37
7134,1,37.0,37,37
7141,1,37.0,37,37
7142,1,37.0,37,37
7146,1,14.0,14,14
7149,1,35.0,35,35
7211,1,34.0,34,34
7212,1,34.0,34,34
7213,1,27.0,27,27
7214,1,28.0,28,28
7217,1,35.0,35,35
7218,1,35.0,35,35
7410,1,27.0,27,27
7417,1,31.0,31,31
7418,1,31.0,31,31
7425,1,13.0,13,13
7426,1,13.0,13,13
7429,1,9.0,9,9
7430,1,9.0,9,9
7431,1,11.0,11,11
7432,1,12.0,12,12
7435,1,12.0,12,12
7436,1,13.0,13,13
7438,1,26.0,26,26
7439,1,26.0,26,26
7487,1,9.0,9,9
7505,1,47.0,47,47
7509,1,45.0,45,45
7517,1,7.0,7,7
7525,1,31.0,31,31
7526,1,31.0,31,31
7603,1,12.0,12,12
7604,1,12.0,12,12
7607,1,17.0,17,17
7608,1,17.0,17,17
7613,1,36.0,36,36
7614,1,37.0,37,37
7644,1,9.0,9,9
7645,1,8.0,8,8
7757,1,4.0,4,4
7758,1,4.0,4,4
7941,1,10.0,10,10
7942,1,11.0,11,11
8001,1,0.0,0,0
8002,1,0.0,0,0
8014,1,2.0,2,2
8017,1,4.0,4,4
8018,1,4.0,4,4
8035,1,17.0,17,17
8036,1,17.0,17,17
8051,1,1.0,1,1
8052,1,3.0,3,3
8061,1,22.0,22,22
8062,1,22.0,22,22
8063,1,15.0,15,15
8064,1,14.0,14,14
8065,1,15.0,15,15
8082,1,4.0,4,4
8087,1,4.0,4,4
8101,1,3.0,3,3
8102,1,3.0,3,3
8301,1,13.0,13,13
8302,1,13.0,13,13
8403,1,7.0,7,7
8404,1,7.0,7,7
8501,1,11.0,11,11
8502,1,11.0,11,11
8511,1,10.0,10,10
8512,1,10.0,10,10
8567,1,27.0,27,27
8568,1,27.0,27,27
8573,1,13.0,13,13
8574,1,13.0,13,13
8581,1,0.0,0,0
8582,1,0.0,0,0
8617,1,13.0,13,13
8618,1,13.0,13,13
8627,1,11.0,11,11
8628,1,12.0,12,12
8872,1,15.0,15,15
9003,1,3.0,3,3
9004,1,3.0,3,3
9005,1,2.0,2,2
9006,1,2.0,2,2
9011,1,18.0,18,18
9012,1,18.0,18,18
9433,1,12.0,12,12
9434,1,12.0,12,12
9621,1,10.0,10,10
9622,1,10.0,10,10
9721,1,10.0,10,10
9722,1,10.0,10,10
9761,1,11.0,11,11
9809,1,9.0,9,9
9810,1,9.0,9,9
10103,1,18.0,18,18
10104,1,18.0,18,18
10111,1,18.0,18,18
10112,1,18.0,18,18
10215,1,11.0,11,11
10216,1,11.0,11,11
11001,1,10.0,10,10
11002,1,10.0,10,10
11003,1,19.0,19,19
11004,1,19.0,19,19
11005,1,37.0,37,37
11006,1,36.0,36,36
11007,1,10.0,10,10
11008,1,9.0,9,9
11009,1,10.0,10,10
11010,1,9.0,9,9
11011,1,14.0,14,14
11012,1,14.0,14,14
11013,1,32.0,32,32
11014,1,32.0,32,32
11015,1,45.0,45,45
11016,1,44.0,44,44
11017,1,28.0,28,28
11018,1,28.0,28,28
11019,1,37.0,37,37
11020,1,38.0,38,38
11021,1,38.0,38,38
11022,1,37.0,37,37
11023,1,26.0,26,26
11024,1,29.0,29,29
11025,1,17.0,17,17
11026,1,17.0,17,17
11027,1,50.0,50,50
11028,1,50.0,50,50
11029,1,33.0,33,33
11030,1,32.0,32,32
11031,1,3.0,3,3
11032,1,3.0,3,3
11033,1,28.0,28,28
11034,1,28.0,28,28
11035,1,25.0,25,25
11036,1,24.0,24,24
11037,1,15.0,15,15
11038,1,15.0,15,15
11039,1,60.0,60,60
11040,1,58.0,58,58
11041,1,34.0,34,34
11042,1,32.0,32,32
11043,1,25.0,25,25
11044,1,24.0,24,24
11045,1,37.0,37,37
11046,1,37.0,37,37
11047,1,10.0,10,10
11048,1,10.0,10,10
11049,1,16.0,16,16
11050,1,16.0,16,16
11051,1,7.0,7,7
11052,1,7.0,7,7
11053,1,15.0,15,15
11054,1,15.0,15,15
11055,1,21.0,21,21
11056,1,21.0,21,21
11057,1,88.0,88,88
11058,1,89.0,89,89
11059,1,22.0,22,22
11060,1,22.0,22,22
11061,1,39.0,39,39
11062,1,37.0,37,37
11063,1,12.0,12,12
11064,1,12.0,12,12
11067,1,18.0,18,18
11068,1,18.0,18,18
11071,1,41.0,41,41
11072,1,39.0,39,39
11073,1,16.0,16,16
11074,1,15.0,15,15
11075,1,11.0,11,11
11076,1,11.0,11,11
11077,1,65.0,65,65
11078,1,63.0,63,63
11079,1,23.0,23,23
11080,1,22.0,22,22
11081,1,18.0,18,18
11082,1,17.0,17,17
11083,1,27.0,27,27
11084,1,26.0,26,26
11085,1,9.0,9,9
11086,1,9.0,9,9
11087,1,24.0,24,24
11088,1,23.0,23,23
11089,1,24.0,24,24
11090,1,24.0,24,24
11091,1,22.0,22,22
11092,1,22.0,22,22
11093,1,25.0,25,25
11094,1,24.0,24,24
11095,1,15.0,15,15
11096,1,14.0,14,14
11097,1,31.0,31,31
11098,1,30.0,30,30
11101,1,21.0,21,21
11102,1,21.0,21,21
11103,1,19.0,19,19
11104,1,19.0,19,19
11107,1,29.0,29,29
11108,1,35.0,35,35
11109,1,9.0,9,9
11110,1,9.0,9,9
11111,1,10.0,10,10
11112,1,10.0,10,10
11123,1,47.0,47,47
11124,1,47.0,47,47
11125,1,9.0,9,9
11126,1,9.0,9,9
11201,1,24.0,24,24
11202,1,24.0,24,24
11203,1,26.0,26,26
11204,1,26.0,26,26
11205,1,18.0,18,18
11206,1,18.0,18,18
11265,1,12.0,12,12
11266,1,12.0,12,12
11272,1,45.0,45,45
11301,1,33.0,33,33
11302,1,32.0,32,32
11303,1,36.0,36,36
11304,1,36.0,36,36
11307,1,5.0,5,5
11308,1,5.0,5,5
11309,1,12.0,12,12
11310,1,12.0,12,12
11401,1,32.0,32,32
11402,1,32.0,32,32
11403,1,20.0,20,20
11404,1,20.0,20,20
11405,1,16.0,16,16
11406,1,16.0,16,16
11407,1,15.0,15,15
11408,1,15.0,15,15
11423,1,12.0,12,12
11424,1,12.0,12,12
11447,1,43.0,43,43
11448,1,44.0,44,44
11449,1,32.0,32,32
11450,1,29.0,29,29
11463,1,48.0,48,48
11464,1,48.0,48,48
11465,1,47.0,47,47
11466,1,48.0,48,48
11651,1,12.0,12,12
11652,1,12.0,12,12
11701,1,14.0,14,14
11702,1,14.0,14,14
11703,1,18.0,18,18
11704,1,18.0,18,18
11801,1,4.0,4,4
11802,1,4.0,4,4
11901,1,11.0,11,11
11902,1,11.0,11,11
12001,1,8.0,8,8
12002,1,8.0,8,8
12003,1,5.0,5,5
12004,1,5.0,5,5
12005,1,3.0,3,3
12006,1,3.0,3,3
12007,1,2.0,2,2
12008,1,2.0,2,2
12009,1,7.0,7,7
12010,1,7.0,7,7
12011,1,4.0,4,4
12012,1,4.0,4,4
12013,1,6.0,6,6
12014,1,6.0,6,6
12015,1,8.0,8,8
12016,1,8.0,8,8
12017,1,6.0,6,6
12018,1,6.0,6,6
12019,1,8.0,8,8
12020,1,8.0,8,8
12021,1,8.0,8,8
12022,1,9.0,9,9
12023,1,12.0,12,12
12024,1,12.0,12,12
12025,1,6.0,6,6
12026,1,6.0,6,6
12027,1,2.0,2,2
12028,1,2.0,2,2
12029,1,6.0,6,6
12030,1,6.0,6,6
