,count,mean,median
,Journey_Duration_Minutes,Journey_Duration_Minutes,Journey_Duration_Minutes
Number_of_Stops,,,
0,1249,52.31,48.0
1,382,77.97,45.0
2,272,85.51,32.5
3,250,158.15,55.0
4,249,179.25,75.0
5,277,194.55,75.0
6,354,198.76,90.0
7,410,185.71,85.0
8,411,232.16,105.0
9,446,263.26,110.0
10,337,312.2,145.0
11,398,314.98,120.0
12,455,389.41,170.0
13,317,414.36,180.0
14,292,431.35,190.0
15,644,252.79,80.0
16,473,371.51,155.0
17,307,500.95,220.0
18,253,589.25,265.0
19,298,466.51,200.0
20,320,463.26,210.0
21,221,653.28,280.0
22,355,442.08,114.0
23,130,682.03,310.0
24,154,834.32,375.0
25,167,790.39,355.0
26,165,777.29,350.0
27,191,738.36,305.0
28,110,976.34,527.5
29,101,1052.43,805.0
30,69,1237.22,960.0
31,72,898.4,592.5
32,107,807.8,485.0
33,59,1141.2,695.0
34,89,749.92,420.0
35,51,1461.47,1080.0
36,30,1389.5,915.0
37,54,1395.89,1212.5
38,49,1418.2,795.0
39,53,1265.96,900.0
40,39,1454.31,880.0
41,39,1508.97,1485.0
42,38,1386.45,720.0
43,23,1136.3,860.0
44,25,1659.4,1775.0
45,13,1504.23,1075.0
46,25,1457.2,970.0
47,21,1098.33,865.0
48,19,1110.11,865.0
49,8,2752.5,2750.0
50,10,1429.5,1402.5
51,10,967.5,780.0
52,6,1405.83,912.5
53,11,1306.36,790.0
54,13,2131.15,2120.0
55,8,2355.62,2215.0
56,16,1972.5,1425.0
57,11,1412.73,945.0
58,10,1289.5,920.0
59,6,2145.0,1912.5
60,12,1580.83,1130.0
61,15,1878.33,2005.0
62,10,1243.5,995.0
63,6,1522.5,1410.0
64,5,1480.4,1345.0
65,5,2290.0,2145.0
66,4,1731.25,1762.5
68,3,1688.33,1185.0
69,8,1886.88,1270.0
70,5,1905.0,1670.0
71,4,1873.75,1940.0
72,5,1393.0,1370.0
73,3,2803.33,2900.0
74,2,2077.5,2077.5
75,2,1575.0,1575.0
76,5,1285.0,1085.0
77,2,1155.0,1155.0
79,2,2407.5,2407.5
80,5,2597.0,2795.0
81,5,1359.0,1210.0
82,1,1575.0,1575.0
83,3,1369.0,796.0
84,1,1400.0,1400.0
85,1,1045.0,1045.0
86,1,1090.0,1090.0
87,3,2988.33,2645.0
88,3,1535.0,1185.0
89,3,1993.33,2440.0
90,2,1860.0,1860.0
92,1,2330.0,2330.0
94,2,3070.0,3070.0
95,3,2780.0,2690.0
96,1,2490.0,2490.0
100,1,1445.0,1445.0
104,1,2735.0,2735.0
105,1,1610.0,1610.0
106,1,2790.0,2790.0
107,1,1610.0,1610.0
109,1,2670.0,2670.0
110,1,2725.0,2725.0
116,1,1760.0,1760.0
